session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62754fe4b5fef75da2fb302a,5db4a409d27e05000f0eaa00,RETURNED,2022-05-06 16:42:16.606000,,3821.200125,31,2477,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62754fe75bf652ab54001ba1,5c7c73b6f48c6d0001f6f49c,APPROVED,2022-05-06 16:42:20.366000,2022-05-06 16:52:36.603000,616.237,27,1579,0,100,2022-05-06 17:08:33.629000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62754fee17bb8340d7c25a81,5d1520570d69240016de8af4,APPROVED,2022-05-06 16:42:25.714000,2022-05-06 16:44:54.072000,148.358,24,766,11,95,2022-05-06 17:08:33.781000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62754ff6afbc46840579eff2,5dc47ddd034b45342d3b2e3a,APPROVED,2022-05-06 16:42:33.772000,2022-05-06 16:47:47.816000,314.044,33,2158,3,100,2022-05-06 17:08:33.903000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62754ffc4dd905b7d9fb9828,60df9631b4030b4ec3a275e5,APPROVED,2022-05-06 16:42:40.084000,2022-05-06 16:50:48.344000,488.26,44,976,1,100,2022-05-06 17:08:49.105000,C6B5AU5W,United States,United States,Part-Time,English,United States,Female,Yes
62755003e64fd84e876cc1dc,5dd06a074ad3e2149c884661,APPROVED,2022-05-06 16:42:50.028000,2022-05-06 16:47:35.265000,285.237,61,908,0,100,2022-05-06 17:08:34.043000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6275500409e335174a04c33d,5fbb062e91513797e214827d,APPROVED,2022-05-06 16:42:47.761000,2022-05-06 16:46:07.998000,200.237,65,1579,3,100,2022-05-06 17:08:49.243000,C6B5AU5W,Turkey,United States,Other,English,United States,Female,No
62755011be632ddf298c8e3e,5ef641cad2958e10692d47fd,APPROVED,2022-05-06 16:42:59.361000,2022-05-06 16:48:01.284000,301.923,33,446,5,98,2022-05-06 17:08:49.407000,C6B5AU5W,United States,United States,DATA EXPIRED,Spanish,United States,Female,DATA EXPIRED
6275502dc976a100c1d01901,614ee4370d85f20de1b9548f,APPROVED,2022-05-06 16:43:31.349000,2022-05-06 16:51:11.036000,459.687,29,948,10,96,2022-05-06 17:08:49.532000,C6B5AU5W,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62755089347f8477841d8bab,5e16c978783225c8108ef055,APPROVED,2022-05-06 16:45:02.258000,2022-05-06 16:49:24.580000,262.322,60,1795,1,100,2022-05-06 17:08:34.161000,C6B5AU5W,United States,United States,Full-Time,English,United States,Male,No
