Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63555c6a4fb757d9f3e4f77e,631a114b543a75e72096fc17,AWAITING REVIEW,2022-10-23T15:23:25.226000Z,2022-10-23T15:35:19.798000Z,,2022-10-23T15:35:20.229978Z,715,5A34BA6B,223,38,Male,White,United States,United States,United States,English,No,Part-Time
63555c7536d498188b63e037,5ff27bb4ad8fba794c1b96fa,AWAITING REVIEW,2022-10-23T15:23:37.272000Z,2022-10-23T15:30:14.235000Z,,2022-10-23T15:30:14.713954Z,397,5A34BA6B,366,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555c890a930fe484f5d1e9,628682de4bd770520715a2f9,AWAITING REVIEW,2022-10-23T15:23:55.920000Z,2022-10-23T15:31:12.393000Z,,2022-10-23T15:31:12.773525Z,437,5A34BA6B,261,26,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555c8af4ab99ea8fe4f7ae,601d537631a290071d5b3a41,AWAITING REVIEW,2022-10-23T15:23:56.734000Z,2022-10-23T15:32:36.901000Z,,2022-10-23T15:32:37.315829Z,521,5A34BA6B,462,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555c936288fa1bb370f0ec,60ff1539d9a91f7b81bb2806,AWAITING REVIEW,2022-10-23T15:24:06.221000Z,2022-10-23T15:28:41.032000Z,,2022-10-23T15:28:41.437569Z,275,5A34BA6B,601,21,Female,White,United States,United States,United States,English,Yes,Part-Time
63555ca1b7bc1ecd5e5a1011,5d506e6d4040a40016bb186a,AWAITING REVIEW,2022-10-23T15:24:24.076000Z,2022-10-23T15:31:25.688000Z,,2022-10-23T15:31:26.110450Z,422,5A34BA6B,1391,76,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555cc0525040fa7e63e01f,62c43f3dc521456f7320356f,AWAITING REVIEW,2022-10-23T15:24:52.395000Z,2022-10-23T15:42:16.676000Z,,2022-10-23T15:42:17.074041Z,1045,5A34BA6B,105,31,Male,Black,United States,United States,United States,English,Yes,Full-Time
63555cc12db20207bdf0b45c,6310c363c480d51b773c57e6,AWAITING REVIEW,2022-10-23T15:24:55.668000Z,2022-10-23T15:34:22.720000Z,,2022-10-23T15:34:23.110426Z,568,5A34BA6B,171,36,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
63555cd75b102e01fcc9bd8a,6312ae3e6001b79f9e640f5b,AWAITING REVIEW,2022-10-23T15:25:14.464000Z,2022-10-23T15:28:18.904000Z,,2022-10-23T15:28:19.286773Z,185,5A34BA6B,17,18,Male,Asian,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555ce56ab3d8b891e1d612,626976d0dfd20d6832fc92aa,AWAITING REVIEW,2022-10-23T15:25:28.791000Z,2022-10-23T15:35:07.878000Z,,2022-10-23T15:35:08.307158Z,580,5A34BA6B,929,52,Male,White,United States,United States,United States,English,No,Full-Time
63555cef1ba3217f92f21255,61008174621af4fde89d5c7f,AWAITING REVIEW,2022-10-23T15:25:38.691000Z,2022-10-23T15:30:08.887000Z,,2022-10-23T15:30:09.285046Z,271,5A34BA6B,1182,54,Male,White,United States,United States,United States,English,No,Full-Time
63555cf0ce124e3328cbead0,60fdbe1ac61266818e961645,AWAITING REVIEW,2022-10-23T15:25:40.032000Z,2022-10-23T15:28:10.603000Z,,2022-10-23T15:28:11.120584Z,151,5A34BA6B,181,23,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
63555d0acf3ee8f2384ce474,62acca0e028fea59c33bf2fe,AWAITING REVIEW,2022-10-23T15:26:06.611000Z,2022-10-23T15:30:53.622000Z,,2022-10-23T15:30:53.980710Z,288,5A34BA6B,280,46,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
63555d250343c14c8806c052,5de2b144ff15c25bc9c7b692,AWAITING REVIEW,2022-10-23T15:26:31.854000Z,2022-10-23T15:30:00.205000Z,,2022-10-23T15:30:00.641192Z,209,5A34BA6B,110,33,Female,White,United States,United States,United States,English,Yes,Full-Time
63555d3094ebafde7af21248,6108bb33c59f5718fbf341e5,AWAITING REVIEW,2022-10-23T15:26:43.642000Z,2022-10-23T15:36:57.504000Z,,2022-10-23T15:36:57.929116Z,614,5A34BA6B,480,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555d380caf2623fde1d5fc,5c82ae895aa8120016acd225,AWAITING REVIEW,2022-10-23T15:26:51.507000Z,2022-10-23T15:32:31.087000Z,,2022-10-23T15:32:31.503322Z,340,5A34BA6B,19,26,Male,White,United States,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
63555d946abf223dedf45ee9,6315fd35f830ee994892f608,AWAITING REVIEW,2022-10-23T15:28:23.294000Z,2022-10-23T15:33:13.067000Z,,2022-10-23T15:33:13.439399Z,290,5A34BA6B,61,42,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63555db8f8308ec72d84905a,5d027da8b3bc0c0017bb8955,AWAITING REVIEW,2022-10-23T15:29:04.558000Z,2022-10-23T15:37:12.873000Z,,2022-10-23T15:37:13.395060Z,489,5A34BA6B,806,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555dcf086d45b59c6786c1,5e2c9026f4a3052be159c494,AWAITING REVIEW,2022-10-23T15:29:21.738000Z,2022-10-23T15:38:26.467000Z,,2022-10-23T15:38:26.816295Z,545,5A34BA6B,1731,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555dfc7df0128d7df45ed6,5e59d06dba01301e73cba7d6,AWAITING REVIEW,2022-10-23T15:30:07.160000Z,2022-10-23T15:34:05.462000Z,,2022-10-23T15:34:05.941468Z,239,5A34BA6B,1365,33,Female,White,United States,United States,United States,English,No,Part-Time
